STT,Các kịch bản từng làm cho nhãn hàng,Mô tả sản phẩm,Chủ để,Thông tin nhãn hàng,Vấn đề của người dùng,Giai đoạn sản phẩm,Chính sách của Tiktok,Chính sách của nhãn hàng,Tone of voice,Thời lượng của kịch bản,Đối tượng hướng đến,Bố cục video,Dạng nội dung
1,"Intro: Không phải kẹp mỏ vịt, cũng không phải bác sĩ nam, thứ làm mình ám ảnh nhất mỗi lần đi kiểm tra cô bé chính là cái chai này này mọi người ơiii. Vứt, vứt, vứt hết, tính ra cũng sưu tầm gần đủ các phiên bản nhà Intimate rồi từ khi cô bé cô bé còn ""ốm yếu"" cho tới khoẻ mạnh như bây giờ. 

Thân: Còn tại sao lại ám ảnh thì cứ mỗi lần đi kiểm tra thì chỉ cần nhìn vào màu sắc từng chai là biết sức khoẻ của cô bé đang như nào. 
Như 6 tháng trước mình ăn uống sinh hoạt không điều độ, cô bé khó chịu cả ngày, đi kiểm tra thì các bác kê cho chai xanh nhạt này này, thấy bảo cứ có vấn đề, mẹ bầu mẹ bỉm thì auto là chai này, vì bầu cơ thể thay đổi nhiều lắm, hỏi 10 thì 8 người gặp vấn đề vùng chữ Y, đến các mom còn dùng được thì chắc chắn phải rất an toàn, lành tính.
Kiên trì dùng đến tháng trước mình đi kiểm tra lại thì trộm vía cô bé khoẻ mạnh, ko vấn đề gì nữa thế là chuyển sang chai xanh đậm HA sẽ thuần về làm sạch, dưỡng ẩm và phù hợp dùng hàng ngày hơn. Còn chai màu cam này là bản mới ra mắt, mình tham khảo thì có thêm vitamin C, cô bé tươi trẻ rạng rỡ hơn thì ai chẳng thích

Outro: Tháng Tết bên TikTok Shop chính hãng đang có nhiều voucher lắm, mọi người tranh thủ nha","- Có đề cập đến 3 phiên bản của Ziaja Intimate (xanh nhạt, xanh đậm, cam) cùng công dụng của từng loại","
 
Kịch bản xoay quanh trải nghiệm cá nhân về việc sử dụng sản phẩm.
Chủ đề ""Hành trình cải thiện sức khỏe vùng kín"" từ lúc có vấn đề đến khi khỏe mạnh.",,"Người dùng lo lắng về sức khỏe vùng kín, cảm giác khó chịu khi sinh hoạt không điều độ.
Những ai gặp vấn đề sau sinh, thay đổi nội tiết tố có thể quan tâm đến dòng sản phẩm này.
Kịch bản thể hiện rằng việc chọn đúng sản phẩm giúp cải thiện tình trạng vùng kín.",Trưởng thành,,,- nhẹ nhàng (linh hoạt),51 giây,"- đa dạng độ tuổi  
- những người cô bé đang có vấn đề: ngứa, viêm nhiễm,...","PAS (Problem - Agitation - Solution)
 ",Chia sẻ kinh nghiệm
2,"Intro: ""Mua chai 500ml mà dùng cho tiết kiệm""
""Sao cùng là Ziaja mà chai 200ml lại đắt hơn 500ml nhỉ""
Chúng mình đã nhận được rất nhiều tin nhắn và bình luận của khách hàng nhầm lẫn về việc Intimate ra mắt phiên bản mới với dung tích 500ml. Cùng là Ziaja nhưng trên thực tế lại là hàng xách tay không được đảm bảo về nguồn gốc và giấy tờ, rất dễ làm giả, chai 500ml nhưng lại có mức giá rất rẻ, thậm chí chỉ bằng một nửa so với chai 200ml.

Thân: Vì vậy nhãn hàng buộc phải lên clip này để đính chính với tất cả khách hàng đã tin tưởng sử dụng Intimate trong thời gian vừa qua, Ziaja Intimate chỉ có duy nhất dung tích 200ml cho tất cả các phiên bản xanh đậm, xanh nhạt, hồng, cam. Chị em khi mua hàng phải chọn đúng chai có chữ ""Intimate"" để đảm bảo chính hãng.
Trên tay mình đang là 2 chai DDVS best seller và dễ bị làm giả nhất của Intimate, về chất lượng thì không cần phải bàn cãi nhiều vì đã được kiểm chứng qua hàng chục hàng feedback và đánh giá 5* từ hội chị em. 
Biết là chai to giá rẻ dùng sẽ tiết kiệm hơn nhưng dùng xong mà tốn cả triệu bạc đi kiểm tra sức khoẻ cô bé, vậy có đáng không???

Out: Thực sự phải trải qua cảm giác dùng phải DDVS hàng giả mới biết đáng sợ thế nào, đắt hay rẻ không quan trọng, lựa chọn là ở chị em, nhớ phải chọn đúng sản phẩm chính hãng, chất lượng nhé",- DDVS Ziaja Intimate xanh nhạt: thành phần chính: Lactobionic Acid,- Cùng 1 hãng nhưng mức giá của các sản phẩm bán tại nhiều nơi lại chênh lệch rõ ràng,,"hoang mang giữa các mức giá, dung tích của sản phẩm trên thị trường (nhiều hàng xách tay hay hàng trôi nổi,...)",Trưởng thành,,,"Nghiêm túc, cảnh báo, kêu gọi nâng cao nhận thức.",1 phút 5 giây,"- đa dạng độ tuổi  
- những người cô bé đang có vấn đề: ngứa, viêm nhiễm,...","ACCA (Awareness - Comprehension - Conviction - Action) → Tạo nhận thức về vấn đề, giải thích, thuyết phục, thúc đẩy hành động mua hàng chính hãng.",Cảnh báo 
3,"Intro: Nhiêu đây chai DDVS Ziaja Intimate mình đã dùng hết trong năm vừa qua nhưng có 1 sự thật mà giờ mới biết?

Thân: Ẩm mịn, sạch thoáng, dịu nhẹ, lành tính, chính hãng, quốc dân là tính từ mà các tín đồ đã ưu ái dành riêng cho Ziaja Intimate. Ngoài khả năng chăm sóc sức khoẻ bé mèo đã được kiểm chứng thì không phải ai cũng biết tới công dụng này - Ziaja Intimate có thể dùng để tắm hàng ngày, thế nên sắp tới có đi du lịch, chơi xa hay về quê ăn Tết thì cũng chỉ cần mang 1 chai này là đủ.
""Bảng thành phần đẹp, an toàn nhưng vẫn đáp ứng đẩy đủ tiêu chí: 
- Hỗ trợ lấy đi các tế bào thừa, giúp da sạch thoáng
- Dưỡng ẩm, mềm mịn ko khô rít
- Hỗ trợ củng cố hệ lợi khuẩn tự nhiên trên da""
Đối với người chưa từng dùng Ziaja Intimate thì mình vẫn luôn recommend trải nghiệm 2 bản xanh đậm và xanh nhạt trước vì phù hợp với mọi tình trạng cô bé. 
Đặc biệt chai xanh nhạt sẽ hợp với mom đang bầu hay sau sinh nhờ khả năng làm dịu kích ứng, khó chịu và tình trạng rau mùi trong suốt thai kì.

Out: Không tự nhiên Ziaja được mệnh danh là DDVS quốc dân và đều được các bác recommend mỗi lần đi kiểm tra sức khoẻ cô bé. Vẫn luôn nhấn mạnh mọi người phải vào gian hàng chính hãng Intimate Store để nhận về tay sản phẩm chuẩn chính hãng nha  ","4 chai DDVS cream:
- Hyaluronic Acid: xanh đậm
- Lactobionic Acid: xanh nhạt
- Lactic Acid: hồng
- Ascorbic Acid: cam",- Công dụng ít ai ngờ đến của DDVS,,"- quan tâm tới sản phẩm nhưng kiến thức về có thể tắm vẫn mới lạ
- Tìm kiếm sản phẩm tiện lợi khi đi du lịch",Trưởng thành,,,"nhẹ nhàng, tươi , chia sẻ cá nhân, có yếu tố bất ngờ.",1 phút 9 giây,"- đa dạng độ tuổi, người có vấn đề ở vùng nhạy cảm
- người mà da (body) có mụn, tìm sữa tắm an toàn, lành tính","FAB (Feature - Advantage - Benefit) → Nhấn mạnh tính năng (dịu nhẹ, làm sạch, dưỡng ẩm), ưu điểm (an toàn, tiện lợi), lợi ích thực tế (có thể thay thế sữa tắm).","Lời khuyên, lựa chọn"
4,"Intro: Khủng hoảng tuổi 23, lần đầu gặp vấn đề về sức khoẻ vùng ấy là trải nghiệm như thế nào? Lời cảnh tỉnh cho mấy bà hay xem nhẹ việc đi kiểm tra sức khoẻ định kỳ cho cô bé, mặc dù đã chăm sóc rất là kĩ, từ giặt đồ chíp riêng cho tới bổ sung lợi khuẩn, men vi sinh, ăn uống và sinh hoạt lành mạnh và kết quả là ... 

Thân: 
Kiểm tra chỗ nào thì cũng được các bác khuyên dùng em Ziaja Intimate này, nhưng cũng phải cảnh báo loại này nhiều hàng pha kè lắm. Hôm mình đi kiểm tra thì hầu như ai cũng kê cho chai này á, từ mấy bé cấp 3 cho tới các cô bác trung niên, ai mà thường xuyên đi kiểm tra sức khoẻ cô bé là quen mặt luôn. 
Cô bé mà có vấn đề, sức đề kháng yếu thì tốt nhất nên dùng chai màu xanh nhạt, các bác bảo trong này có Lactobionic Acid giống với AHA mình hay dùng trong các sản phẩm skincare để tẩy tế bào thừa ấy, nhưng sẽ dịu nhẹ hơn vì cô bé vốn nhạy cảm. Bà nào mà bị ... nặng, kích ứng, ngứa khó chịu theo đợt thì cứ dùng là thấy dịu liền, nma cũng còn tuỳ vào cơ địa mỗi người nha. 
Out: Hơn 200 cá 1 chai mà giải quyết mọi vấn đề, mấy bà săn sale trên có khi giá còn rẻ hơn nhiều á, mà đầu tư cho sức khoẻ thì chưa bao giờ là đắt cả đúng không chị em.",- DDVS Ziaja Intimate xanh nhạt: thành phần chính: Lactobionic Acid,Chia sẻ kinh nghiệm sức khỏe vùng kín,,gặp nhiều vấn đề ở vùng tam giác,Trưởng thành,,,"chân thật, gần gũi, chia sẻ cá nhân",59 giây,"- độ tuổi u20, u30, lần đầu gặp những vấn đề khó nói ở vùng kín",PAS,Chia sẻ kinh nghiệm
5,"Intro: ""Ê m ơi mấy đứa kia bán hàng giả đấy, hôm nọ tao mới xem trên tóp tóp người ta phốt chai kia dùng xong bị ngứa""
""Ôi thật á, cái hot hot đấy bảo là DDVS quốc dân gì mà, sao lại hàng đểu á, m có nhầm không""

Thân: """"Cậu ơi cậu bảo ai bán hàng giả thế""""
""""Chai DDVS của người ta có đủ cả tem niêm yết, cả tem chống hàng giả có dấu của Bộ Công an rồi tem phụ Tiếng việt như thế này mà bảo hàng giả""""
""""Cậu biết cái dòng DDVS của hãng Ziaja bên Ba Lan nó tên là Intima đúng không? Nhưng khi được nhập khẩu về Việt Nam, bắt buộc phải đổi tên thành """"Intimate"""" để phân biệt với hàng xách tay chẳng rõ ràng về nguồn gốc xuất xứ, chẳng được kiểm định về chất lượng đấy! Chứ không phải vì tên khác trên web mà cậu gọi là hàng giả nha""""""
""""""Biết là càng được quan tâm, càng được quảng bá rộng rãi thì Ziaja Intimate càng khó tránh việc bị hàng giả, hàng nhái, hàng kém chất lượng trà trộn vào thị trường, gây ảnh hưởng tới thương hiệu cũng như sức khỏe người tiêu dùng.
Nên là mua thì cứ tìm kênh chính hãng cho an toàn mà yên tâm""""""
Đây mở Tiktok lên, follow Intimate Official Store đi, kênh chính thức của sản phẩm Ziaja Intimate tại Việt Nam đấy. 

Out: Bực thế không biết nữa, sáng giờ chưa quay được cái video nào mà phải giải thích với cỡ 100 người rồi",4 chai DDVS cream,"- Branding về thương hiệu, hàng nhập khẩu chính hãng, giá cả minh bạch",,"- hoang mang về giá thành sản phẩm (nhiều nơi bán hàng rẻ)
- câu chuyện hàng nhập khẩu Intimate và hàng xách tay, trôi nổi Intima không hồi kết",Trưởng thành,,,"- chân thật, minh bạch, thể hiện được sự uy tín",52 giây,"toàn bộ khách hàng của Ziaja
- những người quan tâm đến dung dịch vệ sinh",QUEST,Kiểm chứng thông tin
6,"Intro: Tết Ất Tỵ - Xé túi mù để nhận lì xì hết ý cùng Ziaja Intimate

Thân: 666 phong bao đang được nhà mình cấp tốc chuẩn bị để lì xì tất cả khách yêu nhân dịp đầu xuân năm mới khi đặt hàng từ ngày 26 Tết đến mùng 5 Tết, tức ngày 25/1 - 2/2
Cứ mua là có cơ hội nhận lì xì may mắn
""Một năm nữa đã trôi qua và Ziaja Intimate không thể diễn tả hết sự biết ơn vì nhận được sự tin tưởng, ủng hộ tuyệt vời của Quý khách hàng trong suốt hành trình vừa qua.

Chính sự tin tưởng của mọi người đã tiếp thêm động lực để đội ngũ chúng tôi không ngừng cố gắng, cải tiến và mang đến những sản phẩm và dịch vụ tốt nhất. Ziaja Intimate luôn trân trọng từng lời khen, đóng góp và cả những phản hồi chân thành.
Nhân dịp Tết Ất Tỵ 2025, Ziaja Intimate mong rằng sẽ tiếp tục được đồng hành cùng các bác yêu trên hành trình chăm sóc và nâng niu cơ thể.

Out: Đừng quên đặt hàng từ hôm nay để xé túi mù lì xì với chúng mình nhé""","Không tập trung vào công dụng, chỉ nhấn mạnh ưu đãi","
- Branding về thương hiệu, chạy promotion",,"- cận kề dịp Tết, ngày lễ lớn, quan tâm đến giá sale, quà tặng từ thương hiệu",Trưởng thành,,,"vui tươi, hào hứng, mang không khí Tết",48 giây,"- toàn bộ khách hàng chưa, đã hoặc đang phân vân lựa chọn mua DDVS ZI","SLAP (Stop - Look - Act - Purchase) → Thu hút sự chú ý, giải thích ưu đãi, thúc đẩy hành động mua hàng",- Video remix
7,"Intro: Hot 1000 độ C, Intimate 1 lần nữa chễm chệ trên bảng xếp hạng Tóp Tóp cho hạng mục Sản phẩm hàng đầu về chăm sóc Sức khoẻ và Cá nhân

Thân: Mặc cho hàng loạt chai dung dịch vệ sinh xách tay không rõ nguồn gốc với mức giá rẻ chỉ bằng 1 nửa đang tràn lan ngoài thị trường, Intimate vẫn ngạo nghễ với hơn 150 nghìn lượt bán, luôn nằm trong top sản phẩm mà chị em nhất định phải có. Khách hàng khi mua sản phẩm tại gian hàng Intimate Store sẽ được cam kết về chất lượng, chính hãng. Bảng thành phần chuẩn vegan, an toàn cho cả các bạn nữ đang trong độ tuổi dậy thì hay phụ nữ tiền mãn kinh. Ngoài ra, còn có thể thay thế sữa tắm trong trường hợp chị em đi du lịch, chơi xa,... Bảo sao không cần giảm giá vẫn bão đơn ầm ầm, các tín đồ cứ đợi có hàng là phải chốt đơn luôn.

Out: Hàng chuẩn chính hãng, đắt nhưng xắt ra miếng, Tết này về quê không lo lỉnh kỉnh đồ đạc, chỉ cần 1 chai là đủ. ",4 chai DDVS cream,"
- Đưa tin tức (pov) - cách người ngoài nhìn vào sản phẩm",,- phân vân Ziaja Intimate với các dòng DDVS khác,Trưởng thành,,,vui tươi,33 giây,"- toàn bộ khách hàng chưa, đã hoặc đang phân vân lựa chọn mua DDVS ZI",AIDA,- Video remix
8,"Intro: ""Bị chiến thần gọi tên 
Liệu cộng đồng mạng có đang overate dung dịch vệ sinh Ziaja Intimate""

Thân: Như 1 vì tinh tú cứu rỗi hàng trăm ngàn bé mèo ẩm ương, khó chiều, Ziaja Intimate vẫn bị cho là seeding lố, bán đắt hơn loại dung dịch vệ sinh xách tay, không rõ giấy tờ nào đó. Nhưng chính thất vẫn chệm chệ trên bảng xếp hạng, nhận được vô vàn đánh giá và rating 5 sao, ngang nhiên xuất hiện trong livestream của nhiều Hằng Du Mục, Chang Shu Gờ và trên 2 lần được chiến thần gọi tên. Xuất hiện nhiều thì bị cho là seeding lố nhưng sản phẩm tốt thì xứng đáng được biết tới nhiều hơn. Chị em thường xuyên đi kiểm tra sức khoẻ vùng chứ Y chắc cũng đã nhẵn mặt với 2 chai xanh đậm chứa HA và xanh nhạt chứa LA này rồi phải không. Không chỉ các hot reviewer đánh giá tốt mà còn được các y, dược sĩ chọn mặt gửi vàng.

Out: Cơ mà đồ tốt như này, không cần đến chị Hằng Du Mục livestream, khách hàng cũng tự dọn kho Ziaja Intimate ","- HA: hỗ trợ cung cải thiện tình trạng cô bé bị khô
- LA: hỗ trợ cải thiện cô bé có vấn đề","
- Flexing về sản phẩm + thương hiệu",,- phân vân Ziaja Intimate với các dòng DDVS khác hoặc chưa biết đến thương hiệu,Trưởng thành,,,"vui tươi, hào hứng",39 giây,- những người đang nghi ngờ về dung dịch vệ sinh khi Ziaja Intimate quá hot,AIDA,"- Video remix
- Kiểm chứng"
9,"Intro: ""Chưa từng có trong tiền lệ
Ziaja Intimate chơi lớn tặng ngay lì xì cho khách hàng may mắn, cứ mua là có cơ hội nhận quà""

Thân: Qua rồi cái thời mua Intimate chỉ được freeship, nay nhãn hàng tri ân khách hàng cực khủng, tặng số lượng lớn lì xì may mắn cho khách hàng khi mua sản phẩm bất kỳ áp dụng từ ngày 26 đến hết mùng 5 Tết, tức ngày 25/1 đến hết mùng 2/2. 
Sản phẩm thì khỏi phải bàn cãi về chất lượng, luôn đứng trong top dung dịch vệ sinh bán chạy, chị em quen mặt mỗi khi đi kiểm tra sức khoẻ cô bé, hot từ trong nước cho tới Global, có thể nói là 1 trong số hiếm các sản phẩm chị em chọn mua mà không cần quan tâm đến giá. Đa dạng sản phẩm từ dung dịch vệ sinh cho tới chăm sóc da, lại là brand dược mỹ phẩm uy tín hơn 100 năm của Ba Lan, chị em an tâm sử dụng

Out: Hiếm lắm mới có dịp brand tri ân sâu đến vậy, chị em nhanh tay đặt hàng để trở thành khách hàng may mắn nhà Ziaja Intimate nha",,"
- Flexing về sản phẩm + thương hiệu",,"- cận kề dịp Tết, ngày lễ lớn, quan tâm đến giá sale, quà tặng từ thương hiệu",Trưởng thành,,,"vui tươi, hào hứng",33 giây,khách hàng của Ziaja Intimate hoặc những người quan tâm tới sản phẩm,"SLAP (Stop - Look - Act - Purchase) → Thu hút sự chú ý, giải thích ưu đãi, thúc đẩy hành động mua hàng",Video remix
10,"Intro: HẾT LẠI MUA, KHÔNG PHẢI TỰ NHIÊN MÀ CHÚNG TA DÙNG ĐI DÙNG LẠI MỘT SẢN PHẨM

Thân: Nếu như không giúp những ngày thường sạch sẽ, giúp những ngày đèn đỏ thoáng mát, dịu êm hay trả lại cho mẹ bầu sự tự tin thoải mái thì liệu các sản phẩm của Ziaja Intimate có bán được hàng chục nghìn lượt, các fan còn mua đi mua lại thế này không
Đến chị Hằng Du Mục còn hết lời khen, mà ai chưa sắm cho mình một em thì quá phí

Out: Tui là thích hai màu xanh đậm, xanh nhạt lắm đó. Còn các bác yêu thì sao? Có trải nghiệm gì khi dùng sản phẩm? Hoặc còn băn khoăn chi thì bình luận chúng mình biết với nha",, Flexing về sản phẩm + thương hiệu,,- phân vân Ziaja Intimate với các dòng DDVS khác hoặc chưa biết đến thương hiệu,Trưởng thành,,,"chân thật, gần gũi",27 giây,khách hàng của Ziaja Intimate hoặc những người quan tâm tới sản phẩm,AIDA,Video remix
